Direction,Name,Off/Peak,Preference,Toll1,Toll2,Toll3,Toll4,TollTotal,GoogleMapsLink
ToWork,114-TP,Off-Peak,79, $0.79 , $6.10 ,,, $6.89 ,"https://www.google.com/maps/dir/45+Stonehenge+Dr,+Lincroft,+NJ+07738-1516,+USA/77+River+Rd,+Clifton,+NJ+07014/@40.369748,-74.1525954,15.17z/data=!4m24!4m23!1m15!1m1!1s0x89c22e01a297ca87:0xcbd4d562f29f2e74!2m2!1d-74.1196508!2d40.336069!3m4!1m2!1d-74.1456679!2d40.3754147!3s0x89c232366a5f9363:0x9dacf1b95994851!3m4!1m2!1d-74.3008392!2d40.5396252!3s0x89c3b5e6327499df:0x13df48ede2972570!1m5!1m1!1s0x89c2ff453cbc1c3b:0xd4fe1ad1c4b6f2bc!2m2!1d-74.1370336!2d40.8268293!3e0?entry=ttu&g_ep=EgoyMDI2MDYyOC4wIKXMDSoASAFQAw%3D%3D"
ToWork,109-TP,Off-Peak,77, $0.79 , $6.10 ,,, $6.89 ,"https://www.google.com/maps/dir/45+Stonehenge+Dr,+Lincroft,+NJ+07738-1516,+USA/77+River+Rd,+Clifton,+NJ+07014/@40.3399198,-74.1281595,14.92z/data=!4m24!4m23!1m15!1m1!1s0x89c22e01a297ca87:0xcbd4d562f29f2e74!2m2!1d-74.1196508!2d40.336069!3m4!1m2!1d-74.0987268!2d40.3367146!3s0x89c231dfb93f952d:0x4570bcb2521d5cd0!3m4!1m2!1d-74.3008392!2d40.5396252!3s0x89c3b5e6327499df:0x13df48ede2972570!1m5!1m1!1s0x89c2ff453cbc1c3b:0xd4fe1ad1c4b6f2bc!2m2!1d-74.1370336!2d40.8268293!3e0?entry=ttu&g_ep=EgoyMDI2MDYyOC4wIKXMDSoASAFQAw%3D%3D"
ToWork,116-TP,Peak,75,, $8.13 ,,, $8.13 ,"https://www.google.com/maps/dir/45+Stonehenge+Dr,+Lincroft,+NJ+07738-1516,+USA/77+River+Rd,+Clifton,+NJ+07014/@40.6403717,-74.1779505,11.92z/data=!4m24!4m23!1m15!1m1!1s0x89c22e01a297ca87:0xcbd4d562f29f2e74!2m2!1d-74.1196508!2d40.336069!3m4!1m2!1d-74.1841469!2d40.3829222!3s0x89c232e3458dd4bf:0xe431208839eee2fe!3m4!1m2!1d-74.3008392!2d40.5396252!3s0x89c3b5e6327499df:0x13df48ede2972570!1m5!1m1!1s0x89c2ff453cbc1c3b:0xd4fe1ad1c4b6f2bc!2m2!1d-74.1370336!2d40.8268293!3e0?entry=ttu&g_ep=EgoyMDI2MDYyOC4wIKXMDSoASAFQAw%3D%3D"
ToWork,114-TP,Peak,73, $0.79 , $8.13 ,,, $8.92 ,"https://www.google.com/maps/dir/45+Stonehenge+Dr,+Lincroft,+NJ+07738-1516,+USA/77+River+Rd,+Clifton,+NJ+07014/@40.369748,-74.1525954,15.17z/data=!4m24!4m23!1m15!1m1!1s0x89c22e01a297ca87:0xcbd4d562f29f2e74!2m2!1d-74.1196508!2d40.336069!3m4!1m2!1d-74.1456679!2d40.3754147!3s0x89c232366a5f9363:0x9dacf1b95994851!3m4!1m2!1d-74.3008392!2d40.5396252!3s0x89c3b5e6327499df:0x13df48ede2972570!1m5!1m1!1s0x89c2ff453cbc1c3b:0xd4fe1ad1c4b6f2bc!2m2!1d-74.1370336!2d40.8268293!3e0?entry=ttu&g_ep=EgoyMDI2MDYyOC4wIKXMDSoASAFQAw%3D%3D"
ToWork,109-TP,Peak,71, $0.79 , $8.13 ,,, $8.92 ,"https://www.google.com/maps/dir/45+Stonehenge+Dr,+Lincroft,+NJ+07738-1516,+USA/77+River+Rd,+Clifton,+NJ+07014/@40.3399198,-74.1281595,14.92z/data=!4m24!4m23!1m15!1m1!1s0x89c22e01a297ca87:0xcbd4d562f29f2e74!2m2!1d-74.1196508!2d40.336069!3m4!1m2!1d-74.0987268!2d40.3367146!3s0x89c231dfb93f952d:0x4570bcb2521d5cd0!3m4!1m2!1d-74.3008392!2d40.5396252!3s0x89c3b5e6327499df:0x13df48ede2972570!1m5!1m1!1s0x89c2ff453cbc1c3b:0xd4fe1ad1c4b6f2bc!2m2!1d-74.1370336!2d40.8268293!3e0?entry=ttu&g_ep=EgoyMDI2MDYyOC4wIKXMDSoASAFQAw%3D%3D"
ToHome,Rt3-GSP-116,,69, $2.25 , $2.25 , $-   ,, $4.50 ,"https://www.google.com/maps/dir/77+River+Rd,+Clifton,+NJ+07014/45+Stonehenge+Dr,+Lincroft,+NJ+07738-1516,+USA/@40.5118178,-74.127596,10.21z/data=!4m24!4m23!1m15!1m1!1s0x89c2ff453cbc1c3b:0xd4fe1ad1c4b6f2bc!2m2!1d-74.1370336!2d40.8268293!3m4!1m2!1d-74.1736303!2d40.8506247!3s0x89c2ffa7d37380d5:0xeb983feeb841d5d2!3m4!1m2!1d-74.1855383!2d40.3835749!3s0x89c232e309117f85:0xa8af28b5b215007a!1m5!1m1!1s0x89c22e01a297ca87:0xcbd4d562f29f2e74!2m2!1d-74.1196508!2d40.336069!3e0?entry=ttu&g_ep=EgoyMDI2MDYyOC4wIKXMDSoASAFQAw%3D%3D"
ToHome,Rt3-GSP-109,,67, $2.25 , $2.25 , $0.79 ,, $5.29 ,"https://www.google.com/maps/dir/77+River+Rd,+Clifton,+NJ+07014/45+Stonehenge+Dr,+Lincroft,+NJ+07738-1516,+USA/@40.3519302,-74.1248258,12.96z/data=!4m24!4m23!1m15!1m1!1s0x89c2ff453cbc1c3b:0xd4fe1ad1c4b6f2bc!2m2!1d-74.1370336!2d40.8268293!3m4!1m2!1d-74.1736303!2d40.8506247!3s0x89c2ffa7d37380d5:0xeb983feeb841d5d2!3m4!1m2!1d-74.102732!2d40.3367974!3s0x89c231e048139efb:0x3b503bf43bb09719!1m5!1m1!1s0x89c22e01a297ca87:0xcbd4d562f29f2e74!2m2!1d-74.1196508!2d40.336069!3e0?entry=ttu&g_ep=EgoyMDI2MDYyOC4wIKXMDSoASAFQAw%3D%3D"
ToHome,Rt3-GSP-114,,65, $2.25 , $2.25 , $0.79 ,, $5.29 ,"https://www.google.com/maps/dir/77+River+Rd,+Clifton,+NJ+07014/45+Stonehenge+Dr,+Lincroft,+NJ+07738-1516,+USA/@40.3723359,-74.1516226,15.46z/data=!4m24!4m23!1m15!1m1!1s0x89c2ff453cbc1c3b:0xd4fe1ad1c4b6f2bc!2m2!1d-74.1370336!2d40.8268293!3m4!1m2!1d-74.1736303!2d40.8506247!3s0x89c2ffa7d37380d5:0xeb983feeb841d5d2!3m4!1m2!1d-74.1521023!2d40.3772649!3s0x89c2324969085275:0x869c5ecd40ad7d33!1m5!1m1!1s0x89c22e01a297ca87:0xcbd4d562f29f2e74!2m2!1d-74.1196508!2d40.336069!3e0?entry=ttu&g_ep=EgoyMDI2MDYyOC4wIKXMDSoASAFQAw%3D%3D"
ToHome,Grant-GSP-116,,63, $2.25 , $2.25 , $-   ,, $4.50 ,"https://www.google.com/maps/dir/77+River+Rd,+Clifton,+NJ+07014/45+Stonehenge+Dr,+Lincroft,+NJ+07738-1516,+USA/@40.3786567,-74.1735818,15.21z/data=!4m29!4m28!1m20!1m1!1s0x89c2ff453cbc1c3b:0xd4fe1ad1c4b6f2bc!2m2!1d-74.1370336!2d40.8268293!3m4!1m2!1d-74.1511183!2d40.8114388!3s0x89c2558c50760917:0xc5c9458732501f3c!3m4!1m2!1d-74.1685657!2d40.8177637!3s0x89c255810936f049:0xd0a1dc1bdebc2867!3m4!1m2!1d-74.1830864!2d40.385976!3s0x89c232e2ad1ecdb1:0x897e27b886a9ae2b!1m5!1m1!1s0x89c22e01a297ca87:0xcbd4d562f29f2e74!2m2!1d-74.1196508!2d40.336069!3e0?entry=ttu&g_ep=EgoyMDI2MDYyOC4wIKXMDSoASAFQAw%3D%3D"
ToHome,Grant-GSP-109,,61, $2.25 , $2.25 , $0.79 ,, $5.29 ,"https://www.google.com/maps/dir/77+River+Rd,+Clifton,+NJ+07014/45+Stonehenge+Dr,+Lincroft,+NJ+07738-1516,+USA/@40.3458496,-74.1240631,14.71z/data=!4m29!4m28!1m20!1m1!1s0x89c2ff453cbc1c3b:0xd4fe1ad1c4b6f2bc!2m2!1d-74.1370336!2d40.8268293!3m4!1m2!1d-74.1511183!2d40.8114388!3s0x89c2558c50760917:0xc5c9458732501f3c!3m4!1m2!1d-74.1685657!2d40.8177637!3s0x89c255810936f049:0xd0a1dc1bdebc2867!3m4!1m2!1d-74.1027633!2d40.3380034!3s0x89c231e0f7f386bf:0x8b5f940c354c32b3!1m5!1m1!1s0x89c22e01a297ca87:0xcbd4d562f29f2e74!2m2!1d-74.1196508!2d40.336069!3e0?entry=ttu&g_ep=EgoyMDI2MDYyOC4wIKXMDSoASAFQAw%3D%3D"
